k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;4367;S;0;198478;198478;2760.65;19.9442;93.5723;1.48858e+07;1.37631e+07;0;75.4142;2.97283e+08
2;8078;S;0;29518;29518;4444.44;2.09305;72.3016;2.21385e+06;1.65353e+06;0;9.06046;3.57163e+07
3;6629;S;0;18453;18453;3645.23;0;72.2952;1.38398e+06;1.00596e+06;0;5.51209;2.17287e+07
4;33472;S;0;155209;155209;2760.65;6.28568;78.5362;1.16407e+07;9.06149e+06;0;49.652;1.95728e+08
5;42770;S;0;32175;32175;4612.12;74.1147;147.457;2.41312e+06;1.853e+06;0;10.1534;4.00248e+07
6;35734;S;0;15259;15259;3645.23;1.94446;75.0259;1.14442e+06;1.0221e+06;0;5.60056;2.20774e+07
7;13663;S;0;26120;26120;4612.12;6.78691;76.5254;1.959e+06;1.24833e+06;0;6.84017;2.6964e+07
8;37126;S;0;20685;20685;3339.3;0;73.665;1.55138e+06;1.21552e+06;0;6.66039;2.62553e+07
9;37184;S;0;31288;31288;4444.44;2.56818;74.6418;2.3466e+06;1.5561e+06;0;8.52655;3.36117e+07
10;14186;S;0;27195;27195;2702.06;73.5004;145.105;2.03608e+06;1.00185e+06;0;5.48962;2.16401e+07
11;43297;S;0;33333;33333;2702.06;0;74.0967;2.49998e+06;657845;0;3.60463;1.42094e+07
12;196;S;0;464439;464439;2965.43;146.205;218.39;3.48329e+07;2.12102e+07;1;117.22;4.5814e+08
13;1581;S;0;458465;458465;3055.31;5.94152;78.7202;3.43849e+07;1.72697e+07;1;95.6288;3.73027e+08
14;29986;S;0;282870;282870;1814.66;0.104218;73.5764;2.12152e+07;1.70072e+07;1;94.1899;3.67355e+08
15;47688;S;0;228987;228987;2256.8;1.64705;74.345;1.7174e+07;1.67999e+07;1;93.0545;3.62879e+08
16;195;S;464439;0;464439;5000;0;146.205;6.96658e+07;2.72525e+07;2;151.329;5.88653e+08
17;51366;S;0;153534;153534;1492.77;11.9765;86.263;1.1515e+07;1.33177e+07;1;73.9739;2.87663e+08
