k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;30685;E;0;661155;661155;297.321;28.4621;29.8618;982878;1.07377e+06;2;7.94643;2.31934e+07
2;1316;E;0;695614;695614;806.598;18.7129;22.3934;2.8054e+06;2.11864e+06;2;18.132;4.57627e+07
3;30360;E;0;520237;520237;2319.92;6.10253;15.3004;5.9974e+06;5.5055e+06;3;49.3983;1.18919e+08
4;1263;E;0;637190;637190;1474.72;0.667794;7.22888;4.69839e+06;3.147e+06;3;32.4945;6.79751e+07
5;1276;E;0;637190;637190;570.894;7.22888;9.72168;1.81884e+06;1.40676e+06;2;13.4179;3.03859e+07
6;195;E;464439;0;464439;5000;0;21.2054;1.1611e+07;9.27682e+06;2;102;2.00379e+08
7;30438;E;0;675481;675481;282.843;29.0929;30.1328;955274;621663;2;7.65685;1.34279e+07
8;15006;E;0;449425;449425;2590.98;29.4965;41.2836;5.82226e+06;3.83554e+06;1;52.8196;8.28477e+07
9;196;E;0;464439;464439;2965.43;21.2054;33.2168;6.88631e+06;4.249e+06;1;60.3086;9.17784e+07
10;44137;E;0;348969;348969;586.941;27.5118;30.0661;1.02412e+06;909237;1;12.7388;1.96395e+07
11;1581;E;0;458465;458465;3055.31;21.6268;34.666;6.99641e+06;4.23634e+06;1;62.1063;9.15049e+07
12;29874;E;0;259944;259944;4452.88;18.7374;37.6877;5.78279e+06;5.52658e+06;1;90.0576;1.19374e+08
13;18;E;1120849;0;1120849;166.433;0;0.529574;932732;384558;3;6.32866;8.30644e+06
14;30336;E;0;307831;307831;1475.96;19.5635;26.1974;2.2341e+06;2.02651e+06;3;32.5192;4.37726e+07
15;47688;E;0;228987;228987;2256.8;50.2291;59.0183;2.53978e+06;2.7026e+06;1;46.1361;5.83763e+07
16;47787;E;0;217261;217261;5000;64.06;85.2795;5.28183e+06;5.93999e+06;2;102;1.28304e+08
17;15033;E;0;379330;379330;2590.98;29.1252;38.3242;4.91379e+06;3.03483e+06;1;52.8196;6.55523e+07
18;29986;E;0;282870;282870;1814.66;32.0551;39.5952;2.56504e+06;2.12589e+06;1;37.2933;4.59193e+07
